Rule,Antecedents,Consequents,Support,Confidence,Lift
Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit => Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,0.00043303780193351975,0.6994219653179191,904.7843431099694
Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt => Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,0.00043303780193351975,0.5601851851851852,904.7843431099694
Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit => Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,0.0003173224664306233,0.51252408477842,690.7242594898674
Oh My Yog! Madagascar Vanilla Trilayer Yogyurt => Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,0.0003173224664306233,0.42765273311897106,690.7242594898673
Oh My Yog! Madagascar Vanilla Trilayer Yogyurt => Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,0.0003662330721586517,0.49356913183279744,638.4895597634076
Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt => Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,0.0003662330721586517,0.4737654320987654,638.4895597634076
Almond Milk Blueberry Yogurt => Almond Milk Peach Yogurt,Almond Milk Blueberry Yogurt,Almond Milk Peach Yogurt,0.00045212486758348204,0.5,531.2192648922687
Almond Milk Peach Yogurt => Almond Milk Blueberry Yogurt,Almond Milk Peach Yogurt,Almond Milk Blueberry Yogurt,0.00045212486758348204,0.4803548795944233,531.2192648922687
Almond Milk Blueberry Yogurt => Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,Almond Milk Strawberry Yogurt,0.000472404874836567,0.5224274406332454,505.6952841743497
Almond Milk Strawberry Yogurt => Almond Milk Blueberry Yogurt,Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,0.000472404874836567,0.45727482678983833,505.6952841743497
Almond Milk Strawberry Yogurt => Almond Milk Peach Yogurt,Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,0.0004509319259803594,0.43648960739030024,463.74337674198057
Almond Milk Peach Yogurt => Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,Almond Milk Strawberry Yogurt,0.0004509319259803594,0.4790874524714829,463.7433767419805
Yotoddler Organic Pear Spinach Mango Yogurt => Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,Yotoddler Organic Pear Spinach Mango Yogurt,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,0.0005523319622457841,0.5087912087912088,440.6005721551176
Organic Whole Milk Strawberry Beet Berry Yogurt Pouch => Yotoddler Organic Pear Spinach Mango Yogurt,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,Yotoddler Organic Pear Spinach Mango Yogurt,0.0005523319622457841,0.47830578512396693,440.6005721551176
Chocolate Sea Salt => Coconut  Chocolate Bar,Chocolate Sea Salt,Coconut  Chocolate Bar,0.0003304448240649724,0.32397660818713453,421.05105036493046
Coconut  Chocolate Bar => Chocolate Sea Salt,Coconut  Chocolate Bar,Chocolate Sea Salt,0.0003304448240649724,0.4294573643410853,421.0510503649304
Coconut Chia Bar => Acai Berry Chia Bar,Coconut Chia Bar,Acai Berry Chia Bar,0.00030539305039939684,0.263103802672148,385.5777028726669
Acai Berry Chia Bar => Coconut Chia Bar,Acai Berry Chia Bar,Coconut Chia Bar,0.00030539305039939684,0.44755244755244755,385.57770287266686
Blueberry Whole Milk Yogurt Pouch => Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,Blueberry Whole Milk Yogurt Pouch,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,0.00037100483857114224,0.44113475177304967,382.0117578102105
Organic Whole Milk Strawberry Beet Berry Yogurt Pouch => Blueberry Whole Milk Yogurt Pouch,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,Blueberry Whole Milk Yogurt Pouch,0.00037100483857114224,0.3212809917355372,382.01175781021044
Chocolate Peanut Butter => Coconut Chia Bar,Chocolate Peanut Butter,Coconut Chia Bar,0.0004700189916303217,0.42779587404994573,368.55691733258345
Coconut Chia Bar => Chocolate Peanut Butter,Coconut Chia Bar,Chocolate Peanut Butter,0.0004700189916303217,0.40493319630010277,368.55691733258345
