Rule,Antecedents,Consequents,Support,Confidence,Lift
Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit => Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,0.00048034762897514806,0.6574663835810333,693.6991300097412
Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt => Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,0.00048034762897514806,0.5068194217130387,693.6991300097411
Unsweetened Whole Milk Mixed Berry Greek Yogurt => Unsweetened Whole Milk Peach Greek Yogurt,Unsweetened Whole Milk Mixed Berry Greek Yogurt,Unsweetened Whole Milk Peach Greek Yogurt,0.00031023528243820115,0.494641384995878,675.1195150629414
Unsweetened Whole Milk Peach Greek Yogurt => Unsweetened Whole Milk Mixed Berry Greek Yogurt,Unsweetened Whole Milk Peach Greek Yogurt,Unsweetened Whole Milk Mixed Berry Greek Yogurt,0.00031023528243820115,0.4234297812279464,675.1195150629414
Unsweetened Whole Milk Strawberry Yogurt => Unsweetened Whole Milk Peach Greek Yogurt,Unsweetened Whole Milk Strawberry Yogurt,Unsweetened Whole Milk Peach Greek Yogurt,0.0003717652801217777,0.49280328992460587,672.6107604564761
Unsweetened Whole Milk Peach Greek Yogurt => Unsweetened Whole Milk Strawberry Yogurt,Unsweetened Whole Milk Peach Greek Yogurt,Unsweetened Whole Milk Strawberry Yogurt,0.0003717652801217777,0.507410021171489,672.610760456476
"Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack => Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack","Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack","Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",0.0004824158641914028,0.4625681705503223,502.87478523611696
"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack => Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack","Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack","Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack",0.0004824158641914028,0.524451939291737,502.8747852361169
Oh My Yog! Madagascar Vanilla Trilayer Yogyurt => Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,0.0003826235150071147,0.46894803548795944,494.79160054679835
Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt => Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,0.0003826235150071147,0.4037097654118931,494.79160054679835
