Rule,Antecedents,Consequents,Support,Confidence,Lift
Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit => Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,0.0004744754786553817,0.6176470588235294,727.0395807259074
Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt => Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,0.0004744754786553817,0.5585106382978723,727.0395807259074
Oh My Yog! Gingered Pear Trilayer Yogurt => Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Gingered Pear Trilayer Yogurt,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,0.0003524674984297121,0.4984025559105431,586.6754809326354
Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt => Oh My Yog! Gingered Pear Trilayer Yogurt,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Gingered Pear Trilayer Yogurt,0.0003524674984297121,0.4148936170212766,586.6754809326354
Dairy Free Coconut Milk Blueberry Yogurt Alternative => Dairy Free Coconut Milk Raspberry Yogurt Alternative,Dairy Free Coconut Milk Blueberry Yogurt Alternative,Dairy Free Coconut Milk Raspberry Yogurt Alternative,0.00032535461393511886,0.4161849710982659,582.9144655008415
Dairy Free Coconut Milk Raspberry Yogurt Alternative => Dairy Free Coconut Milk Blueberry Yogurt Alternative,Dairy Free Coconut Milk Raspberry Yogurt Alternative,Dairy Free Coconut Milk Blueberry Yogurt Alternative,0.00032535461393511886,0.45569620253164556,582.9144655008414
Oh My Yog! Gingered Pear Trilayer Yogurt => Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Gingered Pear Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,0.00031179817168782223,0.44089456869009586,573.9332080436009
Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit => Oh My Yog! Gingered Pear Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Gingered Pear Trilayer Yogurt,0.00031179817168782223,0.40588235294117647,573.9332080436009
Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt => Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,0.0004044338603776825,0.47606382978723405,571.0108256933634
Oh My Yog! Madagascar Vanilla Trilayer Yogyurt => Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,0.0004044338603776825,0.48509485094850946,571.0108256933632
Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit => Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,0.00033213283505876715,0.4323529411764706,518.5821616451459
Oh My Yog! Madagascar Vanilla Trilayer Yogyurt => Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,0.00033213283505876715,0.3983739837398374,518.5821616451459
